"$R1 [mm]","$R2 [mm]","$R3 [mm]","$R4 [mm]","Freq [GHz]","dB(St(1,1)) []"
0.76,1,1.75,2,17.14,-1.31651823187443
0.76,1,1.75,2,17.15,-1.32847675284088
0.76,1,1.75,2,17.16,-1.34067093701456
0.76,1,1.75,2,17.17,-1.35310344469932
0.76,1,1.75,2,17.18,-1.36577693988462
0.76,1,1.75,2,17.19,-1.37869408679475
0.76,1,1.75,2,17.2,-1.39185754621205
0.76,1,1.75,2,17.21,-1.40526997156355
0.76,1,1.75,2,17.22,-1.41893400475999
0.76,1,1.75,2,17.23,-1.43285227177612
0.76,1,1.75,2,17.24,-1.44702737796071
0.76,1,1.75,2,17.25,-1.46146190306478
0.76,1,1.75,2,17.26,-1.47615839597616
0.76,1,1.75,2,17.27,-1.4911193691484
0.76,1,1.75,2,17.28,-1.50634729271215
0.76,1,1.75,2,17.29,-1.52184458825657
0.76,1,1.75,2,17.3,-1.53761362226896
0.76,1,1.75,2,17.31,-1.55365669922013
0.76,1,1.75,2,17.32,-1.56997605428385
0.76,1,1.75,2,17.33,-1.58657384567817
0.76,1,1.75,2,17.34,-1.6034521466171
0.76,1,1.75,2,17.35,-1.62061293686136
0.76,1,1.75,2,17.36,-1.63805809385704
0.76,1,1.75,2,17.37,-1.65578938345196
0.76,1,1.75,2,17.38,-1.67380845017965
0.76,1,1.75,2,17.39,-1.69211680710194
0.76,1,1.75,2,17.4,-1.71071582520174
0.76,1,1.75,2,17.41,-1.72960672231883
0.76,1,1.75,2,17.42,-1.7487905516224
0.76,1,1.75,2,17.43,-1.76826818961535
0.76,1,1.75,2,17.44,-1.7880403236671
0.76,1,1.75,2,17.45,-1.808107439073
0.76,1,1.75,2,17.46,-1.82846980564046
0.76,1,1.75,2,17.47,-1.84912746380388
0.76,1,1.75,2,17.48,-1.87008021027284
0.76,1,1.75,2,17.49,-1.89132758322046
0.76,1,1.75,2,17.5,-1.91286884702165
0.76,1,1.75,2,17.51,-1.93470297655384
0.76,1,1.75,2,17.52,-1.95682864107646
0.76,1,1.75,2,17.53,-1.97924418770842
0.76,1,1.75,2,17.54,-2.00194762452738
0.76,1,1.75,2,17.55,-2.02493660331829
0.76,1,1.75,2,17.56,-2.04820840200325
0.76,1,1.75,2,17.57,-2.07175990678971
0.76,1,1.75,2,17.58,-2.09558759407887
0.76,1,1.75,2,17.59,-2.11968751218176
0.76,1,1.75,2,17.6,-2.14405526289601
0.76,1,1.75,2,17.61,-2.16868598300244
0.76,1,1.75,2,17.62,-2.19357432574687
0.76,1,1.75,2,17.63,-2.21871444237903
0.76,1,1.75,2,17.64,-2.24409996382742
0.76,1,1.75,2,17.65,-2.26972398259572
0.76,1,1.75,2,17.66,-2.29557903497398
0.76,1,1.75,2,17.67,-2.32165708366458
0.76,1,1.75,2,17.68,-2.34794950093105
0.76,1,1.75,2,17.69,-2.37444705238477
0.76,1,1.75,2,17.7,-2.40113988153238
0.76,1,1.75,2,17.71,-2.4280174952138
0.76,1,1.75,2,17.72,-2.45506875006825
0.76,1,1.75,2,17.73,-2.4822818401722
0.76,1,1.75,2,17.74,-2.50964428600005
0.76,1,1.75,2,17.75,-2.53714292486391
0.76,1,1.75,2,17.76,-2.56476390299486
0.76,1,1.75,2,17.77,-2.59249266943213
0.76,1,1.75,2,17.78,-2.6203139718909
0.76,1,1.75,2,17.79,-2.64821185478194
0.76,1,1.75,2,17.8,-2.67616965955811
0.76,1,1.75,2,17.81,-2.7041700275629
0.76,1,1.75,2,17.82,-2.73219490555494
0.76,1,1.75,2,17.83,-2.76022555408004
0.76,1,1.75,2,17.84,-2.7882425588569
0.76,1,1.75,2,17.85,-2.81622584533702
0.76,1,1.75,2,17.86,-2.84415469658982
0.76,1,1.75,2,17.87,-2.87200777465403
0.76,1,1.75,2,17.88,-2.89976314548231
0.76,1,1.75,2,17.89,-2.9273983075913
0.76,1,1.75,2,17.9,-2.95489022451084
0.76,1,1.75,2,17.91,-2.9822153611053
0.76,1,1.75,2,17.92,-3.00934972381757
0.76,1,1.75,2,17.93,-3.03626890485975
0.76,1,1.75,2,17.94,-3.06294813034727
0.76,1,1.75,2,17.95,-3.08936231234233
0.76,1,1.75,2,17.96,-3.11548610474037
0.76,1,1.75,2,17.97,-3.14129396289866
0.76,1,1.75,2,17.98,-3.1667602068702
0.76,1,1.75,2,17.99,-3.19185908806856
0.76,1,1.75,2,18,-3.21656485915107
0.76,1,1.75,2,18.01,-3.24085184686898
0.76,1,1.75,2,18.02,-3.26469452759412
0.76,1,1.75,2,18.03,-3.28806760519332
0.76,1,1.75,2,18.04,-3.31094609088457
0.76,1,1.75,2,18.05,-3.33330538467285
0.76,1,1.75,2,18.06,-3.35512135793045
0.76,1,1.75,2,18.07,-3.37637043665565
0.76,1,1.75,2,18.08,-3.39702968491646
0.76,1,1.75,2,18.09,-3.41707688796313
0.76,1,1.75,2,18.1,-3.43649063447437
0.76,1,1.75,2,18.11,-3.45525039738897
0.76,1,1.75,2,18.12,-3.47333661276658
0.76,1,1.75,2,18.13,-3.49073075611952
0.76,1,1.75,2,18.14,-3.50741541566205
0.76,1,1.75,2,18.15,-3.52337436193417
0.76,1,1.75,2,18.16,-3.53859261327455
0.76,1,1.75,2,18.17,-3.55305649664142
0.76,1,1.75,2,18.18,-3.56675370330994
0.76,1,1.75,2,18.19,-3.57967333901212
0.76,1,1.75,2,18.2,-3.59180596812648
0.76,1,1.75,2,18.21,-3.60314365157339
0.76,1,1.75,2,18.22,-3.61367997812336
0.76,1,1.75,2,18.23,-3.62341008888226
0.76,1,1.75,2,18.24,-3.63233069477685
0.76,1,1.75,2,18.25,-3.64044008692563
0.76,1,1.75,2,18.26,-3.64773813984341
0.76,1,1.75,2,18.27,-3.65422630749192
0.76,1,1.75,2,18.28,-3.65990761225174
0.76,1,1.75,2,18.29,-3.66478662695358
0.76,1,1.75,2,18.3,-3.66886945016611
0.76,1,1.75,2,18.31,-3.67216367499488
0.76,1,1.75,2,18.32,-3.67467835169976
0.76,1,1.75,2,18.33,-3.67642394448639
0.76,1,1.75,2,18.34,-3.67741228287126
0.76,1,1.75,2,18.35,-3.67765650805705
0.76,1,1.75,2,18.36,-3.67717101478705
0.76,1,1.75,2,18.37,-3.6759713891732
0.76,1,1.75,2,18.38,-3.67407434301093
0.76,1,1.75,2,18.39,-3.67149764510737
0.76,1,1.75,2,18.4,-3.66826005015593
0.76,1,1.75,2,18.41,-3.66438122569004
0.76,1,1.75,2,18.42,-3.65988167764471
0.76,1,1.75,2,18.43,-3.65478267504224
0.76,1,1.75,2,18.44,-3.64910617430401
0.76,1,1.75,2,18.45,-3.64287474366864
0.76,1,1.75,2,18.46,-3.63611148817395
0.76,1,1.75,2,18.47,-3.62883997563087
0.76,1,1.75,2,18.48,-3.62108416398834
0.76,1,1.75,2,18.49,-3.61286833045491
0.76,1,1.75,2,18.5,-3.60421700270816
0.76,1,1.75,2,18.51,-3.59515489248848
0.76,1,1.75,2,18.52,-3.58570683183669
0.76,1,1.75,2,18.53,-3.57589771220001
0.76,1,1.75,2,18.54,-3.5657524265944
0.76,1,1.75,2,18.55,-3.55529581497711
0.76,1,1.75,2,18.56,-3.54455261294913
0.76,1,1.75,2,18.57,-3.53354740387547
0.76,1,1.75,2,18.58,-3.52230457448042
0.76,1,1.75,2,18.59,-3.51084827394653
0.76,1,1.75,2,18.6,-3.49920237652001
0.76,1,1.75,2,18.61,-3.48739044760017
0.76,1,1.75,2,18.62,-3.47543571326937
0.76,1,1.75,2,18.63,-3.46336103320041
0.76,1,1.75,2,18.64,-3.45118887685987
0.76,1,1.75,2,18.65,-3.43894130291246
0.76,1,1.75,2,18.66,-3.42663994171701
0.76,1,1.75,2,18.67,-3.41430598079534
0.76,1,1.75,2,18.68,-3.40196015314562
0.76,1,1.75,2,18.69,-3.38962272826543
0.76,1,1.75,2,18.7,-3.37731350574463
0.76,1,1.75,2,18.71,-3.36505181128492
0.76,1,1.75,2,18.72,-3.35285649500056
0.76,1,1.75,2,18.73,-3.34074593185486
0.76,1,1.75,2,18.74,-3.32873802408732
0.76,1,1.75,2,18.75,-3.31685020548793
0.76,1,1.75,2,18.76,-3.3050994473783
0.76,1,1.75,2,18.77,-3.29350226616227
0.76,1,1.75,2,18.78,-3.28207473231338
0.76,1,1.75,2,18.79,-3.27083248067058
0.76,1,1.75,2,18.8,-3.2597907219198
0.76,1,1.75,2,18.81,-3.24896425514346
0.76,1,1.75,2,18.82,-3.238367481327
0.76,1,1.75,2,18.83,-3.22801441771658
0.76,1,1.75,2,18.84,-3.21791871292884
0.76,1,1.75,2,18.85,-3.20809366271984
0.76,1,1.75,2,18.86,-3.19855222632607
0.76,1,1.75,2,18.87,-3.18930704329729
0.76,1,1.75,2,18.88,-3.18037045074629
0.76,1,1.75,2,18.89,-3.17175450094709
0.76,1,1.75,2,18.9,-3.16347097921879
0.76,1,1.75,2,18.91,-3.15553142203754
0.76,1,1.75,2,18.92,-3.14794713532493
0.76,1,1.75,2,18.93,-3.14072921286573
0.76,1,1.75,2,18.94,-3.13388855481336
0.76,1,1.75,2,18.95,-3.12743588624537
0.76,1,1.75,2,18.96,-3.12138177573634
0.76,1,1.75,2,18.97,-3.11573665391924
0.76,1,1.75,2,18.98,-3.11051083201029
0.76,1,1.75,2,18.99,-3.10571452027596
0.76,1,1.75,2,19,-3.10135784642422
0.76,1,1.75,2,19.01,-3.09745087390496
0.76,1,1.75,2,19.02,-3.09400362010766
0.76,1,1.75,2,19.03,-3.09102607444688
0.76,1,1.75,2,19.04,-3.0885282163285
0.76,1,1.75,2,19.05,-3.08652003299192
0.76,1,1.75,2,19.06,-3.08501153722523
0.76,1,1.75,2,19.07,-3.08401278495243
0.76,1,1.75,2,19.08,-3.08353389269289
0.76,1,1.75,2,19.09,-3.083585054895
0.76,1,1.75,2,19.1,-3.08417656114706
0.76,1,1.75,2,19.11,-3.08531881326925
0.76,1,1.75,2,19.12,-3.08702234229176
0.76,1,1.75,2,19.13,-3.08929782532452
0.76,1,1.75,2,19.14,-3.09215610232469
0.76,1,1.75,2,19.15,-3.09560819276835
0.76,1,1.75,2,19.16,-3.09966531223317
0.76,1,1.75,2,19.17,-3.10433888889894
0.76,1,1.75,2,19.18,-3.1096405799726
0.76,1,1.75,2,19.19,-3.11558228804458
0.76,1,1.75,2,19.2,-3.12217617738262
0.76,1,1.75,2,19.21,-3.12943469016892
0.76,1,1.75,2,19.22,-3.13737056268611
0.76,1,1.75,2,19.23,-3.14599684145627
0.76,1,1.75,2,19.24,-3.15532689933695
0.76,1,1.75,2,19.25,-3.16537445157691
0.76,1,1.75,2,19.26,-3.17615357183279
0.76,1,1.75,2,19.27,-3.18767870814749
0.76,1,1.75,2,19.28,-3.19996469888861
0.76,1,1.75,2,19.29,-3.21302678864438
0.76,1,1.75,2,19.3,-3.2268806440723
0.76,1,1.75,2,19.31,-3.24154236969405
0.76,1,1.75,2,19.32,-3.25702852362781
0.76,1,1.75,2,19.33,-3.27335613324677
0.76,1,1.75,2,19.34,-3.2905427107502
0.76,1,1.75,2,19.35,-3.30860626863033
0.76,1,1.75,2,19.36,-3.32756533501544
0.76,1,1.75,2,19.37,-3.34743896886603
0.76,1,1.75,2,19.38,-3.36824677499719
0.76,1,1.75,2,19.39,-3.39000891889667
0.76,1,1.75,2,19.4,-3.41274614130312
0.76,1,1.75,2,19.41,-3.4364797725052
0.76,1,1.75,2,19.42,-3.46123174631598
0.76,1,1.75,2,19.43,-3.48702461367258
0.76,1,1.75,2,19.44,-3.513881555804
0.76,1,1.75,2,19.45,-3.5418263969042
0.76,1,1.75,2,19.46,-3.5708836162397
0.76,1,1.75,2,19.47,-3.60107835961361
